feature,weight,class
buildthatwall,6.460040187466783,hate
womensuck,5.016242169161357,hate
bitch,4.574642976469795,hate
nodaca,3.0415341156285725,hate
bitches,2.881102046055319,hate
illegals,2.815400757207097,hate
hoe,2.344123917275546,hate
illegally,2.3084946177421717,hate
maga,2.288233426537955,hate
illegal,2.2435899973698095,hate
whore,2.235871670318845,hate
not welcome,2.230451695059382,hate
rapefugee,2.142893038583368,hate
buildthewall,2.137729723261426,hate
suck,2.1214671240513203,hate
immigrant,-2.739518594106018,non_hate
pussy ass,-2.19361424979326,non_hate
not all,-2.0285661269548974,non_hate
ram,-1.7849045315981038,non_hate
wondering,-1.6912211916389357,non_hate
illegal muslim,-1.6820231074365575,non_hate
blaming,-1.5867285899441201,non_hate
of bitch,-1.5789748004224464,non_hate
deportation of,-1.5623222032319715,non_hate
views,-1.4890351594810896,non_hate
allah,-1.4835537767838323,non_hate
be that,-1.4670350733846362,non_hate
page,-1.442279084462623,non_hate
be your,-1.4180268204462876,non_hate
women you,-1.4139861719419904,non_hate
